data_as_of,development,tds,consolidated_tds,hud_,program,method,type,number_of_section_8_transition_apartments,number_of_current_apartments,total_number_of_apartments,number_of_rental_rooms,population_public_housing,total_population,percent_fixed_income_households,number_of_residential_bldgs,number_of_stories,total_area_sq_ft,bldg_coverage_sq_ft,density,development_cost,avg_monthly_gross_rent,borough,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management,rad_transferred_date
1/1/2025,UNION AVENUE-EAST 163RD STREET,342,342,NY005214,FEDERAL,TURNKEY,NEW CONST (ELD),,191,200,668.5,216,216,0.0082,1.0,9,"86,335.4","18,632",109.0,"$12,675,000",$326,BRONX,1985-03-11,,EXCLUSIVELY,YES,,2023-09-28
1/1/2025,UNION AVENUE-EAST 166TH STREET,356,342,NY005291,FEDERAL,TURNKEY,NEW CONST,,118,120,532.0,253,253,0.0033,6.0,3,"100,370.2","38,943",110.0,"$9,239,549",$604,BRONX,1988-09-01,,,YES,,2023-09-28
1/1/2025,"UNITY PLAZA (SITES 17,24,25A)",240,261,NY005169,FEDERAL,TURNKEY,NEW CONST,0.0,167,167,768.5,383,383,0.34,3.0,6,"81,737.8","27,159",204.0,"$5,191,821",$700,BROOKLYN,1973-11-30,,,,,
1/1/2025,UNITY PLAZA (SITES 4-27),261,261,NY005117,FEDERAL,CONVENTIONAL,NEW CONST,0.0,460,462,"2,139.0",907,907,0.3829,5.0,6,"248,878.5","89,543",159.0,"$16,798,483",$676,BROOKLYN,1973-09-30,,,,,
1/1/2025,UNIVERSITY AVENUE REHAB,341,341,NY005283,FEDERAL,TURNKEY,REHAB,0.0,230,230,"1,034.0",446,446,0.4817,4.0,6,"80,357.6","43,696",242.0,"$15,900,000",$578,BRONX,1985-01-31,,,YES,YES,2025-06-24
1/1/2025,UPACA (SITE 5),343,241,NY005254,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,180,200,630.0,183,183,0.8649,1.0,11,"64,880.6","14,325",123.0,"$13,369,245",$383,MANHATTAN,1986-07-03,,EXCLUSIVELY,YES,,
1/1/2025,UPACA (SITE 6),355,241,NY005281,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,150,150,525.0,148,148,0.9365,1.0,12,"46,262.8","10,330",139.0,"$10,240,710",$374,MANHATTAN,1987-11-30,,EXCLUSIVELY,YES,,
1/1/2025,VAN DYKE I,061,061,NY005013,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,599","1,603","7,380.5","3,294","3,294",0.3438,22.0,3–14,"928,338.0","161,168",155.0,"$21,351,730",$666,BROOKLYN,1955-05-27,,,,,
1/1/2025,VAN DYKE II,146,182,NY005055,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,111,112,413.5,125,125,0.8952,1.0,14,"53,653.8","9,017",101.0,"$2,318,317",$390,BROOKLYN,1964-04-30,,EXCLUSIVELY,,,
1/1/2025,VANDALIA AVENUE,315,315,NY005243,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,286,293,"1,029.0",321,321,0.912,2.0,10,"160,564.8","33,868",87.0,"$20,511,981",$455,BROOKLYN,1983-05-31,,EXCLUSIVELY,YES,,
1/1/2025,VLADECK,006,006,NY005003,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,524","1,531","6,239.0","2,614","2,614",0.5175,20.0,6,"571,962.5","171,144",199.0,"$7,994,564",$601,MANHATTAN,1940-11-25,,,,,
1/1/2025,VLADECK II,007,006,NY005181B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,240,240,"1,080.0",465,465,0.4737,4.0,6,"98,061.0","28,827",207.0,"$1,269,490",$607,MANHATTAN,1940-10-25,1972-06-29,,,,
1/1/2025,WAGNER,074,074,NY005024,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"2,145","2,162","10,038.5","4,176","4,176",0.4306,22.0,7–16,"1,101,834.0","150,639",165.0,"$32,794,423",$630,MANHATTAN,1958-06-12,,,,,
1/1/2025,WALD,023,023,NY005213C,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,855","1,861","8,738.5","3,527","3,527",0.4961,16.0,11–14,"704,010.1","133,117",218.0,"$22,094,000",$631,MANHATTAN,1949-10-14,1977-07-01,,,,
1/1/2025,WASHINGTON,062,062,NY005014,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,511","1,515","7,033.5","3,122","3,122",0.4475,14.0,2—12–14,"868,788.3","124,916",157.0,"$23,677,092",$642,MANHATTAN,1957-09-20,,,,,
1/1/2025,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),293,309,NY005221,FEDERAL,CONVENTIONAL,REHAB,,214,216,909.0,405,405,0.0048,5.0,5-6,"58,931.4","40,754",299.0,"$22,610,848",$466,MANHATTAN,1988-05-01,,,YES,,2020-11-30
1/1/2025,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),523,309,NY005284B,FEDERAL,TURNKEY,REHAB,,87,88,386.5,176,176,0.0036,7.0,5,"25,768.4","18,156",298.0,"$6,178,887",$532,MANHATTAN,1987-11-30,,,YES,,2020-11-30
1/1/2025,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),329,003,NY005284A,FEDERAL,TURNKEY,REHAB,,14,14,63.0,30,30,0.005,1.0,5,"4,095.3","3,393",319.0,"$996,698",$617,MANHATTAN,1987-11-30,,,YES,,2020-11-30
1/1/2025,WASHINGTON HEIGHTS REHAB PHASE IV (C),330,309,NY005228,FEDERAL,CONVENTIONAL,REHAB,,32,32,129.0,67,67,0.0056,2.0,5,"9,027.5","6,012",323.0,"$3,052,119",$514,MANHATTAN,1990-10-01,,,YES,,2020-11-30
1/1/2025,WASHINGTON HEIGHTS REHAB PHASE IV (D),331,309,NY005229,FEDERAL,CONVENTIONAL,REHAB,,32,32,132.0,60,60,0.0048,2.0,5,"9,362.8","6,127",279.0,"$3,007,393",$578,MANHATTAN,1990-07-01,,,YES,,2020-11-30
1/1/2025,WEBSTER,141,141,NY005028,FEDERAL,CONVENTIONAL,NEW CONST,0.0,604,606,"2,822.0","1,423","1,423",0.3921,5.0,21,"192,810.9","31,247",321.0,"$12,227,114",$597,BRONX,1965-09-30,,,,,
1/1/2025,WEEKSVILLE GARDENS,229,031,NY005132,FEDERAL,TURNKEY,NEW CONST,,256,257,"1,254.5",,793,,2.0,4-5,"143,552.1","63,228",241.0,"$7,871,249",$524,BROOKLYN,1974-04-30,,,,,2020-02-12
1/1/2025,WEST BRIGHTON I,116,116,NY005040,FEDERAL,CONVENTIONAL,NEW CONST,0.0,455,490,"2,190.5","1,222","1,222",0.2989,8.0,8,"341,870.0","65,839",156.0,"$9,893,117",$607,STATEN ISLAND,1962-12-31,,,,,2024-06-26
1/1/2025,WEST BRIGHTON II,175,116,NY005040,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,69,144,239.5,81,81,0.9275,8.0,1,"198,369.7","67,228",18.0,"$2,825,000",$389,STATEN ISLAND,1965-12-31,,EXCLUSIVELY,,,2024-06-26
1/1/2025,WEST FARMS ROAD REHAB,360,530,NY005286,FEDERAL,TURNKEY,REHAB,0.0,208,208,883.0,427,427,0.3547,4.0,6,"53,482.0","34,935",348.0,"$14,480,678",$620,BRONX,1986-08-13,,,YES,YES,
1/1/2025,WEST FARMS SQUARE CONVENTIONAL,526,530,NY005318,FEDERAL,CONVENTIONAL,REHAB,0.0,20,20,85.0,44,44,0.2,1.0,5,"5,231.2","3,363",366.0,"$1,558,811",$625,BRONX,1994-06-30,,,YES,YES,
1/1/2025,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,246,045,NY005180,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,148,148,485.0,145,145,0.8583,1.0,12,"38,336.9","9,609",165.0,"$4,380,000",$346,BRONX,1973-07-31,,EXCLUSIVELY,,,
1/1/2025,WHITE,124,112,NY005244E,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,247,248,736.5,225,225,0.9403,1.0,20,"35,882.2","23,400",273.0,"$4,305,000",$354,MANHATTAN,1964-09-30,1979-08-01,EXCLUSIVELY,,,
1/1/2025,WHITMAN,514,514,NY005213A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,653","1,659","7,842.5","3,326","3,326",0.4114,15.0,6–13,"787,767.4","156,524",184.0,"$10,341,328",$609,BROOKLYN,1944-02-24,1977-07-01,,,,
1/1/2025,WILLIAMS PLAZA,128,128,NY005385,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,77.0,577,577,"2,624.5",,"1,341",,5.0,14-21,"245,484.2","39,895",238.0,"$11,631,000",$442,BROOKLYN,1964-04-30,,,,,2020-02-12
1/1/2025,WILLIAMSBURG,002,002,NY005041,FEDERAL,CONVENTIONAL,NEW CONST,,"1,601","1,621","6,292.0","2,895","2,895",0.0049,20.0,4,"1,059,130.9","326,716",119.0,"$13,063,992",$518,BROOKLYN,1938-04-10,,,,,2021-12-28
1/1/2025,WILSON,112,112,NY005220J,FEDERAL,CONVENTIONAL,NEW CONST,0.0,398,398,"2,225.0","1,075","1,075",0.3534,3.0,20,"135,834.4","22,499",345.0,"$7,162,000",$786,MANHATTAN,1961-06-30,1978-07-01,,,,
1/1/2025,WISE TOWERS,127,127,NY005386,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,115.0,389,399,"1,707.5",488,736,0.0045,2.0,19,"103,289.2","34,702",310.0,"$7,774,000",$591,MANHATTAN,1965-01-31,,,,,2020-11-30
1/1/2025,WOODSIDE,033,033,NY005114D,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,353","1,357","6,312.5","2,648","2,648",0.4733,20.0,6,"960,192.4","186,009",120.0,"$13,777,000",$661,QUEENS,1949-12-30,1968-08-29,,,,
1/1/2025,WOODSON,182,182,NY005084,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,405,407,"1,412.5",450,450,0.8814,2.0,10–25,"144,232.3","24,456",136.0,"$8,225,987",$382,BROOKLYN,1970-08-31,,EXCLUSIVELY,,,
1/1/2025,WSUR (BROWNSTONES),178,155,NY005052K,FEDERAL,CONVENTIONAL,REHAB,0.0,235,236,781.5,285,285,0.5528,36.0,3–4–6,"69,464.9","41,422",179.0,"$4,190,975",$609,MANHATTAN,1968-06-30,,,,,
1/1/2025,WSUR (SITE A) 120 WEST 94TH STREET,151,155,NY005056,FEDERAL,CONVENTIONAL,NEW CONST,0.0,68,70,298.0,139,139,0.4412,1.0,9,"22,918.1","6,811",264.0,,$788,MANHATTAN,1965-09-30,,,,,
1/1/2025,WSUR (SITE B) 74 WEST 92ND STREET,173,155,NY005056,FEDERAL,CONVENTIONAL,NEW CONST,0.0,167,168,731.5,280,280,0.4422,1.0,22,"25,709.8","13,176",474.0,"$7,228,361",$653,MANHATTAN,1965-09-30,,,,,
1/1/2025,WSUR (SITE C) 589 AMSTERDAM AVENUE,174,155,NY005056,FEDERAL,CONVENTIONAL,NEW CONST,0.0,157,158,686.5,287,287,0.5,1.0,18,"25,376.0","7,891",493.0,,$621,MANHATTAN,1965-09-30,,,,,
1/1/2025,WYCKOFF GARDENS,163,163,NY005074,FEDERAL,CONVENTIONAL,NEW CONST,0.0,528,529,"2,434.0",988,988,0.4736,3.0,21,"243,632.7","31,158",177.0,"$10,130,155",$712,BROOKLYN,1966-12-31,,,,,
